title,ingredients,distinct_ingredients,num_ingredients,link,source,directions
Make-Ahead Lemon Bombe,"[""16 ounces angel food cake mix"", ""2 ounces unflavored gelatin (2 envelopes)"", ""1/4 cup cold water"", ""1 cup boiling water"", ""12 ounces frozen orange juice concentrate, thawed"", ""1 cup sugar substitute equivalent to sugar (Splenda recommended)"", ""2 tablespoons lemon juice"", ""1/4 teaspoon grated lemon peel"", ""1/8 teaspoon salt"", ""24 ounces frozen light whipped topping, thawed and divided (3 cartons)"", ""1/2 cup flaked coconut, toasted"", ""mint leaf (optional)"", ""maraschino cherry (optional)"", ""lemon slice (optional)"", ""orange slice (optional)""]","boiling water, cake mix, cold water, flaked coconut, lemon juice, lemon slice, light whipped topping, maraschino cherry, mint leaf, orange juice concentrate, orange slice, salt, sugar substitute, unflavored gelatin",14,www.food.com/recipe/make-ahead-lemon-bombe-401031,Gathered,"[""Prepare and bake cake according to package directions, using an ungreased 10-inch tube pan. Cut cooled cake into 1 1/2-inch cubes. Set aside."", ""In a bowl, sprinkle gelatin over cold water; let stand for 1 minute. Add boiling water; stir until gelatin is dissolved. Add the orange juice concentrate, sugar substitute, lemon juice, lemon peel, and salt; mix well. Refrigerate for 30 minutes or until partially set. Fold in 2 cartons of whipped topping."", ""Line a 5 1/2-quart bowl with two overlapping pieces of plastic wrap, letting plastic wrap hang over edge of bowl. In another large bowl, gently combine the cake cubes and whipped topping mixture. Spoon into prepared bowl, gently pushing against side to prevent holes. Cover and refrigerate for at least 24 hours."", ""Just before serving, uncover bombe. Invert onto a cake plate. Remove bowl and plastic wrap. Frost with remaining carton of whipped topping; sprinkle with coconut. Garnish with mint, cherries, and lemon and orange slices if desired.""]"
Pom Sangria ,"[""18 oz. freshly squeezed pomegranate juice* or POM Wonderful(R) 100% Pomegranate Juice"", ""1 750-ml. bottle of dry, fruity Spanish white wine"", ""6 oz. apricot brandy"", ""6 oz. cream sherry"", ""1 oz. simple syrup"", ""1 oz. Prosecco or other sweet sparkling wine"", ""1 lime, sliced into wheels"", ""1 lemon, sliced into wheels"", ""1/2 orange, sliced into wheels"", ""1/2 grapefruit, sliced into wheels"", ""Garnish:"", ""arils from 1 POM Wonderful Pomegranate"", ""red apple wedges"", ""green apple wedges"", ""orange wedges"", ""grapefruit wedges"", ""Cava Spanish Sparkling Brut""]","apricot brandy, cream sherry, freshly squeezed pomegranate juice, grapefruit wedges, green apple wedges, lemon, lime, orange, orange wedges, red apple, simple syrup, spanish sparkling, sparkling wine, wheels",14,www.epicurious.com/recipes/member/views/pom-sangria-50032774,Gathered,"["". Score 1 fresh pomegranate and place in a bowl of water. Break open the pomegranate underwater to free the arils (seed sacs). The arils will sink to the bottom of the bowl and the membrane will float to the top. Sieve and put the arils in a separate bowl."", """", ""2. Place all ingredients into a sangria pitcher."", """", ""3. Refrigerate and let stand 2 hours before serving."", """", ""4. For an individual serving, pour sangria over ice, top with fruit garnish."", """", ""5. Finish each serving with a splash of Cava Spanish Sparkling Brut."", """", ""*\tThis cocktail can be made with freshly squeezed juice from a POM Wonderful pomegranate or by using POM Wonderful 100% Pomegranate Juice. To juice the pomegranate, cut it in half (as you would a grapefruit) and juice using a citrus reamer or a juicer. Pour mixture through a cheesecloth-lined strainer or sieve. One POM Wonderful pomegranate will produce about 1/2 cup of juice.""]"
Chinese Rojak,"[""5/8 cup pineapple rind removed"", ""3/4 cup yam bean peeled"", ""5/8 cup mangoes green"", ""5/8 cup papaya young"", ""1 cup cucumber"", ""3 1/8 tablespoons bean curd puffs"", ""1 3/4 ounces dough fritters"", ""1 teaspoon ginger plant bud, bunga siantan- shredded"", ""1 cup roasted peanuts ground"", ""1 3/4 ounces bean sprouts scalded"", ""4 tablespoons prawn paste"", ""1 1/2 tablespoons lime juice"", ""1/2 tablespoon lime rind"", ""5 tablespoons sugar"", ""fresh chilies some, ground finely""]","bean curd, cucumber, fresh chilies some, fritters, ginger plant, lime juice, lime rind, mangoes, papaya young, peanuts ground, pineapple rind removed, prawn paste, sugar, yam bean",14,www.yummly.com/recipe/Chinese-Rojak-1651390,Gathered,"[""Cut pineapple, yam bean, cucumber, green mangoes, young papaya, guava, bean curd puffs and dough fritters into pieces."", ""Mix red ginger plant bud, 3/4 of the ground peanuts and all Sauce ingredients in large bowl."", ""Add pineapple, yam bean, cucumber, green mangoes, young papaya, bean curd puffs and bean sprouts."", ""Toss and mix well till ingredients are well-coated with sauce."", ""Transfer to serving dish."", ""Top with dough fritters and remaining ground peanuts and serve.""]"
Pork Cutlet Flavored with Soybean Miso,"[""1/2 teaspoon salt"", ""1 tablespoon sake (rice wine)"", ""1 tablespoon ginger juice (see Notes)"", ""1 pound pork shoulder, cut into twelve 3-by-5-by- 1/4-inch slices"", ""2 tablespoons mamemiso (soybean miso)"", ""2 tablespoons mirin (sweet cooking wine)"", ""15 to 20 shiso, preferably, or basil leaves"", ""2/3 cup all-purpose flour"", ""3 eggs, beaten"", ""2 to 3 cups panko breadcrumbs"", ""Vegetable oil, for frying"", ""Lemon wedges (optional)"", ""Plain cooked white or brown rice (optional)"", ""Tonkatsu sauce (optional; see Notes)""]","all-purpose, breadcrumbs, brown rice, eggs, ginger juice, lemon wedges, mamemiso, mirin, pork shoulder, sake, salt, shiso, tonkatsu sauce, vegetable oil",14,www.cookstr.com/recipes/pork-cutlet-flavored-with-soybean-miso,Recipes1M,"[""Soak four bamboo skewers, each about 6 inches long (you can cut longer skewers with a cleaver or kitchen scissors), in water for 30 minutes."", ""In a medium bowl, combine the salt, sake, and ginger juice."", ""Marinate the pork in this mixture for 20 minutes."", ""In a small bowl, combine the miso and mirin, stirring with a spoon until smooth."", ""Spread a thin layer of the miso paste over one pork slice, and place three to four shiso or basil leaves on the paste."", ""Cover with another pork slice, and spread a thin layer of miso paste over the top slice of pork."", ""Roll the pork tightly into a 3-inch cylinder."", ""Make four or five more rolls with the remaining pork and miso paste."", ""Cut each pork roll into four disks."", ""Thread three disks onto each skewer, securing the ends of the rolls with the skewer."", ""Put the flour, beaten eggs, and panko breadcrumbs into three separate pans that are long enough to hold the skewers."", ""Dredge the skewered pork with the flour and then the egg."", ""Dredge the pork again with the flour, then with the egg, and finally with the panko bread-crumbs."", ""Gently press the rolls so that the breadcrumbs adhere well."", ""Heat 1 1/2 inches oil in a wide, deep skillet to 330 degrees F. Fry the pork on the skewers over low heat, two or three at a time, until the outside is golden and cooked through, about 5 minutes."", ""Drain the pork on a rack."", ""Serve the pork on the skewers with lemon wedges, or off the skewers on top of plain cooked white or brown rice and drizzled with tonkatsu sauce.""]"
Wagyu Two Ways,"[""4 pieces Wagyu, 2-inches long and 1/4-inch thick"", ""2 cups rice"", ""1/2 cinnamon stick"", ""1/2 piece star anise"", ""1 piece dry citrus peel"", ""1 tablespoon oyster sauce"", ""1 tablespoon toban jan"", ""2 tablespoon soy sauce"", ""1 tablespoon fermented sweet rice, strained"", ""1 tablespoon sake/shaoxing wine mix 50/50"", ""Drizzle of sesame oil"", ""1 pinch chicken bouillon"", ""4 ounce filet of Wagyu"", ""Grated fresh wasabi"", ""Soy sauce""]","chicken bouillon, cinnamon, drizzle of sesame oil, filet of wagyu, fresh wasabi, oyster sauce, peel, rice, sake/shaoxing wine, soy sauce, star anise, sweet rice, toban jan, wagyu",14,www.foodnetwork.com/recipes/wagyu-two-ways-recipe.html,Recipes1M,"[""Wash rice, soak in water for 30 minutes, remove rice and dry."", ""Toast rice in a pan over medium heat with spices until rice is dry."", ""Process in a blender until rice is 1/3 its original size."", ""Marinate beef 20 to 30 minutes in sauce."", ""Coat beef all over with rice mix, drizzle with a little oil and steam approx 20 to 30 minutes."", ""In a cast iron pan, roast filet until desired temperature, basting with butter."", ""Remove from heat and rest the steak approximately 10 minutes, slice and season with fresh wasabi and soy sauce on the side."", ""Prep Time: 30 minutes""]"
Recipe For Living,"[""1 c. good thoughts"", ""1 c. good works"", ""1 c. consideration for others"", ""2 c. sacrificial love for others"", ""3 c. mercy"", ""1 c. neighborly love"", ""1 c. rose petals for love and unity"", ""1 c. tiny ivy leaves for fidelity"", ""2 c. pansies for loving thoughts"", ""1 c. rosemary for rememberance"", ""1 c. marjoram for health and happiness"", ""1 c. mint leaves for virtue"", ""1 c. coreopsis for cheerfulness"", ""1 c. hydrangea for forgiving and understanding""]","consideration, coreopsis for, fidelity, good works, marjoram for, mercy, mint, neighborly love, others, pansies, petals, rosemary, understanding",13,www.cookbooks.com/Recipe-Details.aspx?id=1069271,Gathered,"[""Combine and spread out to allow flowers and leaves time to dry, approximately 2 weeks, 6 teaspoons rose oil or your favorite potpourri refresher oil may be added."", ""Seal in a plastic bag for 2 to 3 days so the flowers will absorb the oil."", ""It is now ready to be placed in lace handkerchief as favors or showered on the Bride and Groom.""]"
Tv Snack,"[""1/2 box Corn Chex"", ""1/2 box Rice Chex"", ""1/2 box Wheat Chex"", ""1 box sesame stix crackers"", ""1 box sesame and cheese crackers"", ""1 (10 oz.) box pretzels"", ""1 bag pizza goldfish crackers"", ""1 bag cheese goldfish crackers"", ""1 (12 oz.) can cocktail peanuts"", ""1 (12 oz.) can cashews"", ""1 lb. oleo, melted"", ""2 Tbsp. Worcestershire sauce"", ""1 Tbsp. liquid smoke"", ""2 oz. bottle Tabasco sauce"", ""3 tsp. seasoning salt"", ""2 tsp. onion salt"", ""2 tsp. garlic salt""]","box wheat, cashews, cocktail peanuts, crackers, garlic salt, liquid smoke, oleo, onion salt, pretzels, seasoning salt, sesame stix crackers, tabasco sauce, worcestershire sauce",13,www.cookbooks.com/Recipe-Details.aspx?id=1048714,Gathered,"[""Mix the first 10 ingredients together."", ""Mix together the remaining ingredients."", ""Pour liquid mixture over dry mixture and stir well."", ""Bake in preheated oven at 250\u00b0 for 2 hours, stirring every 15 minutes."", ""(Bake in a large roaster pan.)""]"
Mix & Match Pudding Pie (Low Fat ! ),"[""2 cups cold skim milk or 2 cups 2% low-fat milk"", ""1 (8 ounce) container fat-free cool whip"", ""Lemon Pudding Pie"", ""1 (8 ounce) jello lemon flavor instant pudding and pie filling"", ""1 (12 ounce) honey maid graham cracker crust"", ""1 cup raspberries"", ""Pistachio Pudding Pie"", ""1 (8 ounce) Jell-O instant pistachio pudding mix"", ""1 (6 ounce) honey maid graham cracker crust"", ""1 cup miniature marshmallow"", ""Vanilla Pudding Pie 1"", ""1 (8 ounce) jello instant vanilla flavor pudding and pie filling"", ""1 (6 ounce) Oreo cookie pie crusts"", ""1/2 cup toasted coconut flakes"", ""Vanilla Pudding Pie 2"", ""1 (8 ounce) jello instant vanilla flavor pudding and pie filling"", ""1 (6 ounce) nilla pie crusts"", ""1 medium banana, sliced""]","banana, cold skim milk, cookie pie crusts, cool whip, honey, lemon pudding pie, marshmallow, nilla pie crusts, pie, raspberries, toasted coconut flakes, vanilla flavor, vanilla pudding pie",13,www.food.com/recipe/mix-match-pudding-pie-low-fat-162092,Gathered,"[""Pour milk into medium bowl."", ""Add pie filling mix."", ""Beat with wire whisk 2 min until well blended."", ""Spoon 1-1/2 cups of pudding mix into pie crust. Top with special topping."", ""Gently stir in cool whip into remaining pudding."", ""Spoon over pie."", ""Refridgerate for 3 hours."", ""Top with cool whip before serving.""]"
Bouillabaisse Made Easy Recipe,"[""A classic bouillabaisse draws its rich flavor from a stock made from slow-roasted clam, mussel and shrimp shells. To cut preparation time from days to min, I use clam juice to achieve a quick, flavorful stock. You can also use Clamato juice."", ""16 x gulf prawns, peeled, shells saved (16-20 to a lb.)"", ""1/4 c. brandy"", ""1 c. white wine"", ""1/4 c. tomato paste"", ""1/2 gal clam or possibly Clamato juice Zest of 1 orange Healthy pinch of saffron"", ""1/4 c. extra-virgin extra virgin olive oil, plus more for sauteeing"", ""1 x bulb fennel, cored and sliced paper-thin"", ""2 x carrots, peeled and sliced paper-thin Salt and white pepper to taste"", ""1 x yellow onion, sliced into thin rings"", ""1 Tbsp. champagne vinegar"", ""16 x manila clams, rinsed well"", ""24 x mussels, rinsed well"", ""1 lb whitefish, cut into (1-oz) cubes Fennel sprigs to garnish""]","brandy, bulb fennel, carrots, champagne vinegar, clam, extra-virgin extra virgin olive oil, manila clams, mussels, prawns, tomato paste, white wine, whitefish, yellow onion",13,cookeatshare.com/recipes/bouillabaisse-made-easy-89426,Recipes1M,"[""In a skillet, sear shrimp shells over medium-high heat till shells are red."", ""Remove from heat, add in brandy to pan and deglaze, stirring to loosen any browned bits stuck to the bottom of the pan."", ""Return pan to heat, add in white wine and tomato paste and reduce by 2/3."", ""Add in clam juice, simmer 15 min to create stock."", ""Place orange zest and saffron in a bowl and strain stock over the top; let steep 15 min and strain."", ""While stock is steeping, put extra-virgin oil in saucepan."", ""Add in fennel and carrots and sweat on low heat for 5 min."", ""Season with salt and pepper."", ""Add in onion rings and vinegar."", ""Cook 8 more min till tender."", ""Place clams in a large saute/fry pan with a little oil."", ""Add in mussels and cubed whitefish."", ""Add in shrimp, sear lightly on both sides."", ""Add in broth and vegetables and simmer till mussels and clams open."", ""To serve, place mussels and clams around edge of individual bowls."", ""Arrange vegetables and fish in middle of bowl with shrimp on top."", ""Garnish with fennel sprig.""]"
French Market Soup Mix,"[""1 lb. dried navy beans"", ""1 lb. dried pinto beans"", ""1 lb. dried Great Northern beans"", ""1 lb. dried green split peas"", ""1 lb. dried yellow split peas"", ""1 lb. dried black-eyed peas"", ""1 lb. dried lentils"", ""1 lb. dried baby limas"", ""1 lb. dried large limas"", ""1 lb. dried black beans"", ""1 lb. dried red beans"", ""1 lb. dried soybeans"", ""1 lb. barley pearls""]","baby limas, barley pearls, black beans, black-eyed peas, dried great northern beans, dried lentils, dried navy beans, limas, peas, pinto beans, red beans, soybeans",12,www.cookbooks.com/Recipe-Details.aspx?id=970647,Gathered,"[""Combine all beans."", ""Divide into 14 (2 cup) packages for gift giving and present with the following recipe for French Market Soup."", ""Yield:"", ""14 (2 cup) packages.""]"
Mountain Sayings,"[""moonshining"", ""making corn big iron"", ""quite a bit"", ""fulled up"", ""I don't know"", ""really"", ""ice cold"", ""chock full"", ""go fetch it"", ""tote"", ""pite smart"", ""go get it"", ""taters"", ""anyums"", ""au shucks"", ""I dogged if I know"", ""som'ens = some where"", ""holpin = helping""]","anyums, chock full, corn big, holpin, moonshining, pite smart, quite, really, shucks, some where, taters, tote",12,www.cookbooks.com/Recipe-Details.aspx?id=629905,Gathered,"[""*BLKLIN more) walking around as if shopping, etc., representing the following topics:"", ""LIGHTS, GIFTS, CARDS, CROWDS, MUSIC, VACATION, PARTIES, FAMILY, FOOD and MONEY.""]"
"Harvest Soup(Cheap, Healthy And Delicious)  ","[""vegetable oil cooking spray"", ""1 lb. lean ground turkey"", ""1 medium onion, chopped"", ""1 tsp. dry oregano"", ""1 tsp. Italian herb seasoning"", ""3 large firm ripe tomatoes, chopped"", ""3 large carrots, sliced"", ""1 large potato, peeled and diced"", ""6 c. beef broth"", ""1 c. each tomato juice and dry red wine"", ""1 Tbsp. Worcestershire"", ""1/2 c. dry pasta shapes"", ""1 tsp. liquid hot pepper"", ""2 medium zucchini, diced""]","beef broth, carrots, firm ripe tomatoes, italian herb seasoning, lean ground turkey, liquid hot pepper, onion, oregano, pasta shapes, potato, tomato juice, vegetable oil cooking spray, worcestershire, zucchini",14,www.cookbooks.com/Recipe-Details.aspx?id=587421,Gathered,"[""Spray wide 4 to 5-quart pan with cooking spray."", ""Crumble turkey into pan; add onion, oregano and herb seasoning."", ""Cook over medium heat, stirring often, until turkey is no longer pink and onion is soft, but not brown (5 minutes)."", ""Stir in tomatoes, carrots, potato, broth, tomato juice, wine and Worcestershire."", ""Increase heat to medium-high and bring to a boil; reduce heat."", ""Cover and boil gently for 20 minutes."", ""Add pasta."", ""Cover and cook 5 minutes. Add zucchini and boil gently, uncovered, until pasta is tender. Add pepper seasoning."", ""Makes 6 to 8 servings.""]"
"Very Healthy Oatmeal, Rhubarb, Orange And Ginger Pudding","[""57 g oatmeal or 4 tablespoons oatmeal"", ""1/4 teaspoon vanilla flavoring (preferably artificial)"", ""130 g rhubarb (Cooked, but very firm, roughly 3 Tablespoons) or 4 1/2 ounces rhubarb (Cooked, but very firm, roughly 3 Tablespoons)"", ""2/3 tablespoon orange juice (preferably freshly made, To Taste)"", ""3/4 teaspoon ground ginger (To taste)"", ""5 teaspoons Splenda sugar substitute (To taste) or 5 teaspoons sugar (To taste)"", ""1/2 teaspoon baking soda"", ""3/4 teaspoon cream of tartar"", ""1/2 teaspoon caraway seed (optional, To taste)"", ""10 g nonfat dry milk powder or 1 tablespoon nonfat dry milk powder"", ""1 1/2 110 ml milk (plus 235ml water) or 1/2 cup milk (plus 1 cup water, omitting the dried milk)"", ""12 g marmalade (Chunky Orange) or 1 teaspoon marmalade (Chunky Orange)"", ""1 1/2 teaspoons nonfat yogurt or 1 1/2 teaspoons cream"", ""3/4 tablespoon wheat bran (completely optional, for a chewier, wheatier texture and taste) or 4 1/2 g wheat bran (completely optional, for a chewier, wheatier texture and taste)""]","baking soda, bran, caraway, cream of tartar, ground ginger, marmalade, milk, nonfat dry milk, nonfat yogurt, oatmeal, orange juice, rhubarb, splenda sugar substitute, vanilla flavoring",14,www.food.com/recipe/very-healthy-oatmeal-rhubarb-orange-and-ginger-pudding-122055,Gathered,"[""For the topping, in an egg cup or other small pot put a medium size teaspoon of marmalade. Add enough Boiling water (not much!) to soften to a thick paste."", ""Measure the Oatmeal into pan. ('Porridge Oats' here in the UK). Personally I find 'quick oats' a real disappointment as I like the texture of the rolled oats, but if you must -- :)."", ""Add ground ginger, vanilla flavouring (and caraway seeds if using them)."", ""Add dried milk if using it - or fresh milk/ buttermilk plus water to make total 1 1/2 cups (345ml) of liquids."", ""Either squish a quarter of an orange, including pulp (but not rind or pips!) into the pan or add the orange juice."", ""Bring to a gentle boil on a moderate heat and reduce heat to simmer once boiling point reached, stirring occasionally."", ""Once it has thickened (to personal taste) almost to the point of being ready to eat (about 2 or 3 minutes), if using it, add the wheat bran. Please bear in mind the bran will soak up quite a bit of water and thicken the mixture. I just added it because I like a chewier texture and the 'seriously good for you, wholesome' flavour, but absolutely a matter of personal taste!"", ""Whether adding bran or not, when nearly thick enough, add the rhubarb and about 3 teaspoons Splenda or sugar. Canned rhubarb is fine - probably better actually. I can buy unsweetened canned rhubarb but if using sweetened rhubarb then you'll probably want to decrease the total sugar a bit."", ""Add the Cream of Tartar and gently stir it in well."", ""Add the good 1/2 tsp or so of baking soda and immediately stir it in gently but very quickly - it rises a lot immediately."", ""Increase the heat a bit, stirring continuously to mix well. Bring to desired thickness stirring as necessary then pour into serving bowl."", ""Top with the yoghurt. Sprinkle a couple of teaspoons of artificial sweetener / sugar across the top. (I expect brown sugar would be especially nice!) I sprinkled a bit more ground ginger across the top as well as I really like ginger! Pour the prepared marmalade sauce across the yoghurt."", ""SERVE AND DEVOUR!"", ""A passing thought about a slight oversight of mine -- I weighed the uncooked rhubarb to be 70g and forgot to weigh it once cooked and before adding it. The 130g cooked rhubarb is a guess - but the volume measure (about 3 tablespoons) was about what the 70g uncooked rhubarb became after cooking."", ""VARIATIONS:"", ""A couple of delicious ideas that I've not tried yet but probably will --."", ""A baked dessert could be made by preparing with either rhubarb, large chunks of drained canned peach slices/pineapple, large chunks of peeled apple and/or sultanas into a suitable baking dish with perhaps 1/2 cup of flour (wholemeal would probably be really good for this) plus a bit more sweetness, baking in a medium oven for 1/2 to 3/4 hour or so. Also you could change the vanilla for almond essence (but surely not with rhubarb!) Then either eating, topped with toasted oats or chopped nuts and brown sugar (and maybe fine-chopped candied ginger, or maybe a couple of tablespoons orange marmalade / canned peach slices pulped though your fingers, a pineapple ring or whatever depending on what's in the middle). Served warm with custard and maybe strawberry/apricot jam/preserve, or set firm and cold with ice-cream or sweetened greek-style (nonfat) yoghurt."", ""Or the baked dessert could be left to cool somewhat and then topped with (maybe a layer of strawberry/apricot jam/preserve, then) a nice vanilla egg-custard, left to set, then topped as before with toasted oats, candied ginger or whatever."", ""With acknowledgments to Toni Gifford's excellent Ginger Peach Oatmeal #112474 which I spotted the other day which must have been there at the back of my mind for the idea about peaches!"", ""Just ideas running wild through my head!"", ""Do enjoy eating, and maybe playing with this recipe! :).""]"
Jhat Phat Sabzi (Bell Pepper Paneer),"[""1/2 tablespoon ghee or 1/2 tablespoon unsalted butter"", ""1 cup panir, cubed"", ""1 teaspoon ginger-garlic paste"", ""1/2 teaspoon chili paste"", ""1 pinch turmeric powder"", ""1/2 teaspoon red chili powder"", ""1 teaspoon coriander powder"", ""1 tomatoes, de-seeded and quartered"", ""1 yellow bell pepper, diced"", ""1 green bell pepper, diced"", ""1/2 teaspoon kasuri methi (fenugreek leaves)"", ""1 pinch garam masala powder"", ""salt"", ""chopped fresh coriander (to garnish)""]","chili paste, coriander powder, fresh coriander, garam masala, ghee, ginger-garlic, green bell pepper, kasuri methi, panir, red chili powder, salt, tomatoes, turmeric powder, yellow bell pepper",14,www.food.com/recipe/jhat-phat-sabzi-bell-pepper-paneer-482753,Gathered,"[""Heat ghee in a large pan, add cubed paneer and saute for 2 minutes."", ""Remove the paneer from the heat and place paneer in warm water for 3 minutes, drain and keep aside."", ""In the same pan, add the ginger-garlic paste and chili paste and saute for 2 minutes."", ""Add turmeric powder, coriander powder, red chilli powder and combine."", ""Add the chopped bell peppers and cook till they turn slightly soft, about 5 minutes."", ""Add tomatoes and stir well to combine and cook for 7 minutes, with lid. Add the paneer cubes and toss the contents well and cook for 5 minutes. Add garam masala powder and kasuri methi and combine."", ""Finally, garnish with fresh coriander leaves and serve hot with naan bread.""]"
Italian Chopped Salad,"[""1 head romaine lettuce, leaves left whole"", ""1/4 lb pepperoni, sliced thin"", ""1/4 lb genoa salami, julienned"", ""1/3 cup roasted yellow pepper, drained and sliced into strips"", ""1/3 cup red onion, chopped"", ""1 1/2 cups artichoke hearts, chopped"", ""3 tablespoons red wine vinegar"", ""1/2 cup extra virgin olive oil"", ""1/2 teaspoon salt"", ""1/4 teaspoon freshly cracked black pepper"", ""2 tablespoons grated romano cheese"", ""1/4 cup mixed olive"", ""5 pepperoncini peppers"", ""1/4 cup provolone cheese, cubed""]","extra virgin olive oil, freshly cracked black pepper, genoa salami, hearts, mixed olive, pepperoncini peppers, pepperoni, provolone cheese, red onion, red wine vinegar, romaine lettuce, romano cheese, salt, yellow pepper",14,www.food.com/recipe/italian-chopped-salad-513503,Gathered,"[""In a large salad bowl, combine lettuce, pepperoni, salami, roasted peppers, onion and artichoke hearts. Toss everything together to combine."", ""Add vinegar, olive oil, salt, pepper, pepperoncini, Romano, provolone, and olives to the bowl. Toss thoroughly to combine the ingredients."", ""Serve chilled.""]"
Johnny Jalapeno'S Fire Dumpling Soup,"[""Soup"", ""5 cups chicken broth (or stock)"", ""2 tablespoons dried onion flakes"", ""2 tablespoons parsley flakes"", ""1 tablespoon dried celery flakes"", ""1 tablespoon hot sauce (we use habanero sauce)"", ""1/2 teaspoon garlic powder"", ""1 cup cooked chicken, chopped (optional)"", ""dumplings"", ""2 cups Bisquick"", ""2 -3 tablespoons chopped jalapenos"", ""1/4 cup shredded monterey jack cheese (or cheddar) (optional)"", ""1 teaspoon ground sage"", ""1/2 teaspoon cayenne pepper"", ""1/2 - 2/3 cup 2% low-fat milk""]","bisquick, cayenne pepper, celery flakes, chicken, chicken broth, dumplings, garlic powder, ground sage, hot sauce, jalapenos, milk, onion flakes, parsley flakes, shredded monterey jack cheese",14,www.food.com/recipe/johnny-jalapenos-fire-dumpling-soup-384770,Gathered,"[""To a medium saucepan over med-high heat, add water, chicken bullion, seasonings, and chicken if using. Bring to a gentle boil."", ""Meanwhile, Mix all dumpling ingredients to form a thick dough."", ""When pot is ready, drop dumplings by heaping teaspoons into simmering liquid. Do in batches, about 6 at a time. Cook, turning occasionally, for 10-15 minutes, or until dough is cooked through. the soup will thicken up to a creamy sauce as the dumplings are simmering. Serve up in a bowl and enjoy immediately."", ""NOTE: as the liquid thickens from the batches of dumplings, simply add more water or chicken stock as needed.""]"
Vegan Mushroom Satay Skewers,"[""6 portobello mushrooms - cut into 1/2\"" slices"", ""1/4 cup all-natural peanut or almond butter"", ""1 teaspoon fresh grated ginger"", ""2 scallions - finely sliced"", ""2 limes - one juiced, the other cut into wedges for garnish"", ""2 tablespoons coconut amino (or sub low-sodium soy sauce)"", ""2 tablespoons rice wine vinegar"", ""2 teaspoons sambal (or desired chili paste)"", ""3 tablespoons hot water"", ""1/4 cup full-fat coconut milk"", ""1 fresh jalapeno - finely sliced for garnish"", ""1 red chili pepper (like anaheim) - finely sliced for garnish"", ""1 handful fresh cilantro leaves - roughly torn for garnish"", ""1 packet mung bean vermiceli - cooked to package instructions"", ""1 packet bamboo skewers""]","all-natural peanut, bamboo skewers, cilantro, coconut amino, fresh jalapeño -, full-fat coconut milk, ginger, instructions, portobello mushrooms, red chili pepper, rice wine vinegar, sambal, scallions, water",14,food52.com/recipes/59538-vegan-mushroom-satay-skewers,Gathered,"[""Fully submerge bamboo skewers in a bowl of water - set aside."", ""In a large bowl or Mason jar, combine peanut butter, ginger, one finely sliced scallion, juice of one lime, coconut aminos, rice wine vinegar, sambal and hot water. Whisk or shake until thoroughly combined. The consistency should be quite thick. If too loose, add more peanut butter. If too thick, add water in 1 tsp increments."", ""Transfer half of the sauce to a separate mixing bowl and add-in 1/4 cup coconut milk - mix thoroughly. Reserve the remainder of the sauce for dipping."", ""Add the sliced mushrooms to the coconut milk mixture and toss everything to coat. Cover with plastic wrap and refrigerate for up to 2-4 hours."", ""Skewer the mushroom slices length-wise."", ""Light a grill or grill pan to medium heat. Cook the mushrooms approximately 6-7 minutes per side or until preferred consistency."", ""Meanwhile, cook the mung bean noodles according to package instructions."", ""Remove mushrooms from grill and garnish with lime wedges, sliced jalapeno, Anaheim chilies, remaining sliced scallion and fresh cilantro. Serve the satay skewers immediately with the mung bean vermicelli and reserved dipping sauce.""]"
Kale And Chickpea Soup With Lemon,"[""1 tablespoon olive oil"", ""2 banana shallots or 1 onion"", ""1 stick celery"", ""2 stalks rosemary"", ""1 bay leaf"", ""1/4 teaspoon chili flakes"", ""1 clove of garlic"", ""1 tin chickpeas (400 grams), drained and rinsed"", ""one 200-gram bag of chopped kale"", ""800 milliliters hot stock (a cube or powder is fine -- I used a combination of Marigold powder and vegetable stock)"", ""Juice of 1/2 a lemon"", ""Salt and pepper to season/taste"", ""Paper-thin lemon slices, for serving"", ""Crusty, toasted bread, for serving"", ""Grated Parmesan, for serving (omit if vegan)""]","banana shallots, bay leaf, celery, chickpeas, chili flakes, clove of garlic, crusty, kale, milliliters, olive oil, paper, parmesan, salt, stalks rosemary",14,food52.com/recipes/25867-kale-and-chickpea-soup-with-lemon,Gathered,"[""Set a dutch oven or large saucepan over medium heat, pour in the olive oil. Finely dice the shallots and add to the pan, stirring to coat with the oil. Make 4 or 5 long horizontal slices in the celery stalk and dice. Add this to the pan and stir."", ""Finely chop the rosemary leaves and stir into the pan together with the bay leaf and the chili flakes. Peel the garlic clove and crush it, using the flat of your knife and the heel of your hand, so that it is still whole, then add it to the pan."", ""Add the chickpeas and the kale and stir. Pour in the hot stock, let it come to a boil and turn down the heat. Add salt if you're using unsalted stock. Let it simmer for 20 minutes until the kale is tender. Squeeze in the juice of half a lemon. Check the seasoning and adjust to taste. You might want more lemon or salt -- it all depends on what stock you've used."", ""Working in batches or in the pan itself, if you have a stick blender, blitz until you have the texture you like. I like mine to still have a few chickpeas and pieces of kale throughout, so I set aside a couple of ladlefuls and use a stick blender to blitz the rest."", ""Serve hot, floating a couple of slices of lemon on top of each serving. Pass round the Parmesan cheese for everyone to help themselves. It's lovely with toasted crusty bread.""]"
